ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.134.230.127","elite","AS132203","SG","Aceville Pte.ltd","387","N/A","443","socks4","2004","1","2024-05-31T13:42:39.495Z","92","6591","7180"
"112.78.39.90","elite","AS55666","ID","PT Media Sarana Data","279","Gmedia ID Semarang","4153","socks4","1902","1","2024-05-31T13:42:39.491Z","97","460","474"
"185.171.52.101","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","92","Shahrad","4153","socks4","1004","1","2024-05-31T13:42:39.401Z","97","6966","7181"
"47.112.157.97","elite","AS37963","CN","Addresses CNNIC","211","Aliyun Computing Co., LTD","8060","socks5","78","1","2024-05-31T13:42:39.407Z","88","6229","7054"
"154.79.246.18","elite","AS327708","KE","Airtel KE Mobile & Fixed Internet","298","N/A","9898","socks4","1831","1","2024-05-31T13:42:39.589Z","87","399","458"
"155.133.83.45","elite","AS136787","DE","Tefincom S.A.","14","Packethub S.A","58351","socks4","396","1","2024-05-31T13:42:39.595Z","48","3496","7272"
"195.133.49.151","transparent","AS48347","RU","JSC Mediasoft ekspert","49","JSC Mediasoft ekspert","8080","http","4197","6214","2024-05-31T13:42:39.604Z","100","61","61"
"103.26.247.102","elite","AS58717","BD","Summit Communications Limited","187","N/A","56707","socks4","72","1","2024-05-31T13:42:20.500Z","99","6994","7100"
"202.148.30.6","elite","AS38778","ID","PT. Dutakom Wibawa Putra","294","N/A","5678","socks4","3705","1","2024-05-31T13:42:20.503Z","98","6987","7099"
"194.6.233.122","elite","AS33927","UA","Ukrmirkom LTD","47","Specavtomatica Ltd","3629","socks4","5598","1","2024-05-31T13:42:19.593Z","98","7069","7196"
"50.116.60.163","elite","AS63949","US","Akamai Technologies, Inc.","80","Linode","37170","socks4","73","2","2024-05-31T13:42:19.897Z","98","6979","7087"
"93.182.76.244","elite","AS44558","TR","Netonline Bilisim Sirketi LTD","88","Netonline Bilisim Sirketi LTD","5678","socks4","2101","1","2024-05-31T13:42:19.603Z","99","414","420"
"51.83.116.4","elite","AS16276","FR","OVH SAS","6","OVH","50333","socks4","2999","1","2024-05-31T13:42:19.605Z","100","302","302"
"104.24.136.68","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","2898","1","2024-05-31T13:42:19.595Z","100","7003","7003"
"190.0.22.35","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","152","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","1705","1","2024-05-31T13:42:19.898Z","99","7168","7214"
"103.66.233.153","elite","AS134014","IN","NET 4 U SERVICES","192","N/A","4145","socks4","3909","2","2024-05-31T13:42:19.699Z","99","7111","7149"
"41.73.253.234","elite","AS16284","NG","VBN","194","N/A","4145","socks4","4905","1","2024-05-31T13:42:19.801Z","74","310","419"
"46.167.238.54","elite","AS16019","CZ","UPC Czech","81","Tkom Plus sro, customers space","5678","socks5","492","1","2024-05-31T13:42:19.693Z","99","7039","7126"
"27.131.168.137","elite","AS24187","TH","Leaseline","247","N/A","5678","socks4","2583","1","2024-05-31T13:42:19.697Z","98","466","477"
"213.168.250.121","elite","AS63949","GB","Akamai Technologies, Inc.","9","Linode, LLC","40418","socks5","74","1","2024-05-31T13:42:19.604Z","91","6408","7018"
"167.249.254.70","elite","AS28408","MX","Gdlicanet, S.A. de C.V.","181","Gdlicanet, S.A. de C.V.","1080","socks4","2511","1","2024-05-31T13:42:19.592Z","100","7075","7097"
"103.23.101.97","elite","AS58400","ID","Universitas Negeri Semarang, y","270","UNNES","4145","socks4","4910","1","2024-05-31T13:42:19.806Z","93","384","414"
"202.107.231.156","elite","AS4134","CN","Chinanet","205","N/A","60000","socks4","4702","1","2024-05-31T13:42:19.598Z","40","2823","7077"
"154.84.84.89","elite","AS134175","US","DINGFENG Network","297","N/A","80","socks4","711","1","2024-05-31T13:42:19.599Z","40","2824","7007"
"104.21.223.181","elite","AS13335","CA","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks4","991","1","2024-05-31T13:42:19.791Z","100","7145","7146"
"103.200.135.230","elite","AS134739","MM","AGB Communication Co.Ltd","398","N/A","4145","socks4","770","1","2024-05-31T13:42:19.802Z","96","335","349"
"197.234.13.47","elite","AS36902","SC","Intelvision","169","Intelvision Ltd","4145","socks4","73","1","2024-05-31T13:42:19.596Z","99","7066","7106"
"190.0.244.146","elite","AS27951","CO","Media Commerce Partners S.A","152","Gonzalez Florez Radiologia Especializada SA","4153","socks4","3603","1","2024-05-31T13:42:19.902Z","97","6998","7187"
"216.105.130.33","elite","AS20081","US","NET2ATLANTA.COM LLC","101","NET2ATLANTA.COM LLC","39593","socks4","2616","1","2024-05-31T13:42:19.590Z","100","7233","7250"
"203.13.32.218","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks4","3101","1","2024-05-31T13:42:19.899Z","100","7120","7120"
"105.234.156.109","elite","AS37440","MW","Airtel Malawi","367","N/A","4145","socks4","5014","1","2024-05-31T13:42:19.695Z","81","5855","7198"
"1.1.168.61","elite","AS23969","TH","TOT Public Company Limited","296","TOT Public Company Limited","4145","socks4","631","1","2024-05-31T13:42:11.089Z","75","5374","7153"
"172.67.69.9","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","70","1","2024-05-31T13:42:11.003Z","100","7113","7113"
"170.80.91.1","elite","AS264820","CR","Corebases S.A","164","Corebases S.A","4145","socks4","1481","85","2024-05-31T13:42:11.002Z","100","415","416"
"149.20.253.103","elite","AS18615","US","Mainstream Fiber Networks, LLC","99","Mainstream Fiber Networks, LLC","12551","socks4","685","1","2024-05-31T13:42:11.405Z","100","7197","7207"
"93.170.123.5","elite","AS212913","UA","FOP Hornostay Mykhaylo Ivanovych","55","PE Gornostay Mikhailo Ivanovich","3128","http","2187","7187","2024-05-31T13:42:11.192Z","100","407","409"
"91.215.61.181","elite","AS196705","UA","Ardinvest LTD","81","Nikita Sergienko","5678","socks4","4504","1","2024-05-31T13:42:11.490Z","99","7088","7126"
"170.233.117.44","elite","AS264738","AR","Sebastian Souto","299","Sebastian Souto","5678","socks4","1810","1","2024-05-31T13:42:11.391Z","98","7010","7125"
"185.169.181.10","elite","AS34984","TR","Ates Dc","60","Ibrahim MALA trading as Ates Dc","4145","socks4","5003","1","2024-05-31T13:42:11.395Z","100","7172","7192"
"119.40.87.97","elite","AS24122","BD","BDCOM Online Limited","166","BDCOM Online Limited","5678","socks4","992","1","2024-05-31T13:42:11.393Z","36","2583","7135"
"91.226.51.200","elite","AS49785","PL","P.P.H.U AWIST","41","P.P.H.U AWIST","4145","socks4","3291","2","2024-05-31T13:42:11.191Z","42","3056","7226"
"173.249.2.186","elite","AS51167","DE","Contabo GmbH","20","Contabo GmbH","45708","socks4","75","1","2024-05-31T13:42:11.488Z","100","7094","7098"
"192.12.112.65","elite","AS61942","BR","Turbonet Telecom Ltda","202","Turbonet Telecom Ltda","4145","socks4","67","1","2024-05-31T13:42:11.400Z","95","6883","7226"
"43.155.81.198","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","293","Tencent Cloud Computing","1081","socks4","72","2","2024-05-31T13:42:11.403Z","30","2158","7181"
"143.255.249.74","elite","AS61468","EC","CEDIA","178","Universidad Tecnologica Israel","7497","socks5","1510","1","2024-05-31T13:42:11.401Z","95","6779","7164"
"170.150.159.18","elite","AS27901","CL","Pacifico Cable SPA.","290","Pacifico Cable SPA","3389","socks5","4716","1","2024-05-31T13:42:11.398Z","100","7156","7188"
"181.233.95.18","elite","AS271441","BR","J.A TELECOM.PE","190","Ewerton DA Silva Lopes Servicos De Provedores","5678","socks4","73","1","2024-05-31T13:42:11.404Z","98","7088","7208"
"202.159.60.65","elite","AS9340","ID","PT IndoInternet","313","N/A","443","socks4","72","1","2024-05-31T13:42:11.099Z","99","7096","7156"
"51.38.64.38","elite","AS16276","GB","OVH SAS","9","OVH Ltd","8211","socks4","1627","1","2024-05-31T13:42:11.102Z","100","282","282"
"83.168.84.130","elite","AS35179","PL","ESPOL-FH","39","N/A","4153","socks4","75","1","2024-05-31T13:42:11.392Z","56","4013","7177"
"45.63.70.67","elite","AS20473","US","The Constant Company","96","Vultr Holdings, LLC","29313","socks4","180","3","2024-05-31T13:42:10.999Z","62","4410","7144"
"179.109.193.228","elite","AS61893","BR","RM dos Santos Informatica","291","RM dos Santos Informatica","4153","socks4","72","1","2024-05-31T13:41:49.300Z","49","3532","7212"
"190.14.229.242","elite","AS27951","CO","Media Commerce Partners S.A","139","Diversiones Del Oriente","5678","socks4","4095","82","2024-05-31T13:41:49.294Z","98","7109","7224"
"88.198.165.115","elite","AS24940","DE","Hetzner","15","Astrid Stolper + André Malo GbR","48139","socks5","314","1","2024-05-31T13:41:49.298Z","94","6515","6944"
"116.202.235.157","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner Online GmbH","63135","socks5","1304","1","2024-05-31T13:41:49.302Z","100","462","462"
"37.9.171.155","elite","AS51013","SK","Websupport","25","Websupport s.r.o.","41075","socks4","3302","1","2024-05-31T13:41:49.295Z","100","424","424"
"88.135.44.138","elite","AS57391","IR","Laser Company Ltd","103","Laser Company Ltd","5678","socks4","4601","1","2024-05-31T13:41:49.297Z","46","3252","7092"
"89.249.253.10","elite","AS31370","RU","Mosline ISP","51","OOO Montaj Telecom Service","80","socks4","73","1","2024-05-31T13:41:48.908Z","99","7022","7120"
"119.13.78.93","elite","AS136907","HK","Huawei International Pte. LTD","385","N/A","1080","socks5","78","1","2024-05-31T13:41:48.904Z","62","4484","7226"
"212.83.162.168","elite","AS12876","FR","Online","4","Free SAS","2019","socks4","402","1","2024-05-31T13:41:48.993Z","95","6842","7223"
"202.51.126.241","elite","AS17995","ID","PT iForte Global Internet","394","N/A","1080","socks4","1883","1","2024-05-31T13:41:48.990Z","93","325","351"
"202.21.117.126","elite","AS9484","MN","Mobinet LLC","192","N/A","5678","socks4","81","1","2024-05-31T13:41:48.901Z","100","7173","7182"
"159.192.121.240","elite","AS131090","TH","CAT-BB","296","N/A","4145","socks4","2400","1","2024-05-31T13:41:29.299Z","96","416","434"
"165.225.204.117","elite","AS5511","FR","Orange S.A - Opentransit network","5","ZSCALER","10605","socks4","71","1","2024-05-31T13:41:29.192Z","99","7055","7158"
"103.205.135.225","elite","N/A","BD","ICC Communication Ltd","301","N/A","6969","socks4","1799","2","2024-05-31T13:41:29.195Z","97","458","474"
"103.245.109.131","elite","AS58800","BD","ACE IT Networks Limited","165","N/A","1088","socks4","3584","2","2024-05-31T13:41:29.293Z","85","406","476"
"103.66.232.5","elite","AS134014","IN","NET 4 U SERVICES","145","N/A","4145","socks4","75","2","2024-05-31T13:41:29.393Z","99","7082","7151"
"51.145.176.250","anonymous","AS8075","NL","Microsoft Corporation","11","Microsoft Azure Cloud (westeurope)","8080","http","4913","20507","2024-05-31T13:41:29.201Z","53","19","36"
"31.28.8.109","elite","AS29076","RU","Citytelecom LLC","47","FILANCO-SPB-LLC","1080","socks5","72","1","2024-05-31T13:41:29.390Z","22","1594","7204"
"202.150.148.218","elite","AS23949","ID","PT Comtronics Systems","394","N/A","61924","socks4","3195","1","2024-05-31T13:41:29.398Z","98","7031","7209"
"74.33.175.72","elite","AS5650","US","Frontier Communications Solutions","111","ADSL Frontier Communications Plymouth NY","8080","socks5","5213","1","2024-05-31T13:41:29.302Z","85","6095","7141"
"101.73.162.83","elite","AS4837","CN","China Unicom Hebei Province Network","193","N/A","1080","socks5","4699","1","2024-05-31T13:41:29.394Z","77","5567","7227"
"103.106.241.153","elite","AS137385","BD","Md. Saddam Hossain","215","N/A","1080","socks4","492","1","2024-05-31T13:41:29.306Z","95","248","260"
"192.111.139.162","elite","AS46562","US","Performive LLC","189","Total Server Solutions L.L.C.","4145","socks4","796","81","2024-05-31T13:41:29.399Z","100","472","472"
